Ref,Val,Package,PosX,PosY,Rot,Side
"BT30","CR1220","MPD_BC501SM_CR1220",96.758000,-93.472000,90.000000,top
"C1","1N","C_0402_1005Metric",119.634000,-85.651340,270.000000,top
"C2","100N","C_0402_1005Metric",121.285000,-85.788500,270.000000,top
"C3","22P","C_0402_1005Metric",123.976478,-88.698000,30.000000,top
"C4","22P","C_0402_1005Metric",125.603000,-87.757000,210.000000,top
"C6","100N","C_0402_1005Metric",116.205000,-92.710000,270.000000,top
"C7","10U","C_0603_1608Metric",114.871500,-82.300000,90.000000,top
"C8","100N","C_0402_1005Metric",117.538500,-88.392000,90.000000,top
"C9","0P","C_0402_1005Metric",119.910100,-94.869000,0.000000,top
"C10","18P","C_0402_1005Metric",119.910100,-95.910400,0.000000,top
"D1","D_Schottky","D_SOD-523",93.400000,-84.000000,270.000000,top
"LOGO2","CUPL","logo",114.617500,-100.822000,0.000000,top
"R1","10K","R_0402_1005Metric",116.205000,-90.678000,90.000000,top
"R2","10K","R_0402_1005Metric",123.837700,-91.732100,90.000000,top
"R3","47K","R_0402_1005Metric",116.039900,-85.128100,180.000000,top
"R30","47K","R_0402_1005Metric",103.505000,-81.153000,90.000000,top
"R31","47K","R_0402_1005Metric",100.901500,-77.622400,270.000000,top
"SW30","SW_Push","SW_SPST_EVQP2",102.362000,-71.120000,90.000000,top
"U1","HDC2021","HDC2021",120.243600,-88.773000,180.000000,top
"U2","NT3H2111W0FTTJ","TSSOP-8_3x3mm_P0.65mm",120.065800,-92.542000,180.000000,top
"U3","MSP430FR2155TDBT","TSSOP-38_4.4x9.7mm_P0.5mm",121.031000,-80.899000,90.000000,top
"U4","SIP32431DR3-T1GE3","SOT-363_SC-70-6",115.250000,-87.884000,180.000000,top
"Y1","32K768","Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering",123.988500,-86.423500,210.000000,top
