Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,FIT,MANF,MANF#,SUPPLIER,SUPPLIER#
1,1,AE1,Antenna_Loop,device:Antenna_Loop,PS_Antennas:Class_6_NXP_7loop_150u,~,NF,,,,
2,1,BT30,Battery_Cell,device:Battery_Cell,OSHW:MPD_BC501SM_CR1220,~,,MPD,BC501SM,DIGIKEY,BC501SM-TRCT-ND
3,1,C1,1N,device:C,Capacitor_SMD:C_0402_1005Metric,,,YAGEO,CC0402KRX7R7BB102,FARNELL,3369151
4,3,"C2, C6, C8",100N,device:C,Capacitor_SMD:C_0402_1005Metric,,,YAGEO,CC0402KRX7R7BB104,FARNELL,9402047
5,2,"C3, C4",22P,device:C,Capacitor_SMD:C_0402_1005Metric,,,AVX,04025A220JAT2A,FARNELL,1327634
6,1,C7,10U,device:C,Capacitor_SMD:C_0603_1608Metric,,,AVX,06036D106MAT2A,FARNELL,1833804
7,1,C9,0P,device:C,Capacitor_SMD:C_0402_1005Metric,,NF,AVX,,FARNELL,
8,1,C10,20P,device:C,Capacitor_SMD:C_0402_1005Metric,,,MURATA,GJM1555C1H8R2BB01D,FARNELL,2781441
9,1,D1,D_Schottky,device:D_Schottky,Diode_SMD:D_SOD-523,~,,ROHM,RB520SM-40FHT2R,MOUSER,755-RB520SM-40FHT2R
10,1,J30,Conn_02x04_Odd_Even,Connector_Generic:Conn_02x04_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~,NF,,,,
11,1,JP30,Jumper_2_Open,Jumper:Jumper_2_Open,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,NF,,,,
12,1,JP31,SolderJumper_2_Bridged_small,Jumper:SolderJumper_2_Bridged,OSHW:SolderJumper-2_Bridged_small,~,NF,,,,
13,1,LOGO2,CUPL,HT02-rescue:CUPL,OSHW:logo,,NF,,,,
14,1,P1,Conn_01x01,Mechanical:MountingHole,MountingHole:MountingHole_2.2mm_M2,~,NF,,,,
15,3,"P2, P3, P4",Conn_01x01_MountingPin,Mechanical:MountingHole,MountingHole:MountingHole_2.2mm_M2,~,NF,,,,
16,2,"R1, R2",10K,device:R,Resistor_SMD:R_0402_1005Metric,,,VISHAY,CRCW040210K0FKED,FARNELL,1469669
17,3,"R3, R30, R31",47K,device:R,Resistor_SMD:R_0402_1005Metric,,,PANASONIC,ERJ2RKF4702X,FARNELL,2302806
18,1,SW30,SW_Push,Switch:SW_Push,OSHW:SW_SPST_EVQP2,~,,PANASONIC,EVQP2402W,FARNELL,2860944
19,1,U1,HDC2021,HT02-rescue:HDC2021,OSHW:HDC2021,https://www.ti.com/lit/ds/symlink/hdc2021.pdf,,TEXAS,HDC2021DEBT,TEXAS,HDC2021DEBT
20,1,U2,NT3H2111W0FTTJ,HT02-rescue:NT3H2111,Package_SO:TSSOP-8_3x3mm_P0.65mm,https://www.nxp.com/docs/en/data-sheet/NT3H2111_2211.pdf,,NXP,NT3H2111W0FTTJ,FARNELL,2663150
21,1,U3,MSP430FR2155TDBT,HT04-rescue:MSP430FR2155TDBT,Package_SO:TSSOP-38_4.4x9.7mm_P0.5mm,http://www.ti.com/lit/ds/symlink/msp430fr2155.pdf,,TEXAS,MSP430FR2155TDBT,MOUSER,595-MSP430FR2155TDBTR
22,1,U4,SIP32431DR3-T1GE3,HT02-rescue:SIP32431DR3-T1GE3,Package_TO_SOT_SMD:SOT-363_SC-70-6,http://www.farnell.com/datasheets/2049671.pdf?_ga=2.11166580.1949353041.1516051135-1652704786.1448397490,,VISHAY,SIP32431DR3-T1GE3,FARNELL,2361509
23,1,Y1,32K768,HT02-rescue:XTAL_32768HZ_3215,Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,http://www.farnell.com/datasheets/1912628.pdf?_ga=2.198399151.1835204160.1515367470-1652704786.1448397490,,EPSON,FC-12M 32.7680KD-A3,DIGIKEY,SER3673CT-ND
